,grenoble_m3-2,grenoble_m3-11,grenoble_m3-13,grenoble_m3-14,grenoble_m3-15,grenoble_m3-16,grenoble_m3-18,grenoble_m3-20,grenoble_m3-21,grenoble_m3-22,grenoble_m3-24,grenoble_m3-25,grenoble_m3-26,grenoble_m3-27,grenoble_m3-28,grenoble_m3-30,grenoble_m3-31,grenoble_m3-32,grenoble_m3-177,grenoble_m3-178,grenoble_m3-179,grenoble_m3-181,grenoble_m3-182,grenoble_m3-183,grenoble_m3-184,grenoble_m3-185,grenoble_m3-188,grenoble_m3-189,grenoble_m3-191,grenoble_m3-192,grenoble_m3-193,grenoble_m3-195,grenoble_m3-196,grenoble_m3-197,grenoble_m3-198,grenoble_m3-199,grenoble_m3-200,grenoble_m3-201,grenoble_m3-202,grenoble_m3-203,grenoble_m3-204,grenoble_m3-205,grenoble_m3-207,grenoble_m3-208,grenoble_m3-209,grenoble_m3-210,grenoble_m3-211,grenoble_m3-212,grenoble_m3-214,grenoble_m3-215,grenoble_m3-216,grenoble_m3-218,grenoble_m3-219,grenoble_m3-220,grenoble_m3-221,grenoble_m3-222,grenoble_m3-223,grenoble_m3-224,grenoble_m3-225,grenoble_m3-226,grenoble_m3-227,grenoble_m3-228,grenoble_m3-229,grenoble_m3-230,grenoble_m3-231,grenoble_m3-232,grenoble_m3-233,grenoble_m3-234,grenoble_m3-235,grenoble_m3-236,grenoble_m3-237,grenoble_m3-238,grenoble_m3-239,grenoble_m3-240,grenoble_m3-241,grenoble_m3-244,grenoble_m3-245,grenoble_m3-246,grenoble_m3-247,grenoble_m3-248,grenoble_m3-249,grenoble_m3-250,grenoble_m3-252,grenoble_m3-254,grenoble_m3-255,grenoble_m3-256,grenoble_m3-257,grenoble_m3-259,grenoble_m3-260,grenoble_m3-261,grenoble_m3-264,grenoble_m3-265,grenoble_m3-267,grenoble_m3-269,grenoble_m3-270,grenoble_m3-271,grenoble_m3-272,grenoble_m3-273,grenoble_m3-274,grenoble_m3-275,grenoble_m3-276,grenoble_m3-277,grenoble_m3-278,grenoble_m3-279,grenoble_m3-280,grenoble_m3-282,grenoble_m3-283,grenoble_m3-284,grenoble_m3-285,grenoble_m3-286,grenoble_m3-288,grenoble_m3-289,grenoble_m3-290,grenoble_m3-293,grenoble_m3-297,grenoble_m3-298,grenoble_m3-299,grenoble_m3-303,grenoble_m3-307,grenoble_m3-309,grenoble_m3-310,grenoble_m3-311,grenoble_m3-312,grenoble_m3-313,grenoble_m3-314,grenoble_m3-317,grenoble_m3-318,grenoble_m3-321,grenoble_m3-322,grenoble_m3-324,grenoble_m3-325
grenoble_m3-24,8.899999999999999,7.926,8.248,8.56,6.966,23.697,30.928,8.56,9.521,6.648,0.0,15.638,8.568,10.425,8.246,8.56,6.326,8.56,9.53,6.8,28.31,8.61,6.71,7.789999999999999,36.91,13.75,9.87,33.91,23.11,19.41,33.31,6.199999999999999,26.909999999999997,7.619999999999999,16.310000000000002,10.77,25.81,6.56,15.11,7.38,16.11,9.65,16.91,12.17,13.69,7.3,21.409999999999997,28.81,26.61,20.51,13.95,7.109999999999999,6.22,8.05,15.21,12.09,17.509999999999998,6.56,20.409999999999997,8.870000000000001,15.51,6.66,13.95,6.289999999999999,21.21,7.289999999999999,17.509999999999998,8.75,11.07,6.14,21.11,9.69,18.71,7.08,15.11,15.81,7.5,11.42,8.93,20.409999999999997,12.39,9.44,7.34,17.71,43.21,6.93,32.41,11.1,16.310000000000002,8.969999999999999,49.11,23.61,9.02,12.49,27.61,7.55,7.34,7.55,7.44,10.18,7.72,6.92,8.57,8.16,26.11,16.310000000000002,9.02,7.609999999999999,232.01,55.809999999999995,20.11,8.309999999999999,131.01,4.489,4.418,4.475,4.577,4.460999999999999,4.462,4.529999999999999,4.455,4.52,4.425,4.5569999999999995,4.601,4.529,4.468,4.473,4.537,4.537,4.451
grenoble_m3-25,8.309999999999999,7.926,6.326,7.921,6.966,39.059,7.92,8.561,8.89,17.466,15.638,0.0,8.241,43.833,6.64,7.736,7.326,7.6,8.94,6.21,27.72,8.02,6.12,7.199999999999999,36.32,13.16,9.28,33.32,22.520000000000003,18.82,32.72,5.609999999999999,26.32,7.029999999999999,15.72,10.18,25.22,5.97,14.52,6.79,15.52,9.06,16.32,11.58,13.1,6.71,20.82,28.22,26.020000000000003,19.92,13.36,6.52,5.63,7.46,14.62,11.5,16.92,5.97,19.82,8.280000000000001,14.92,6.07,13.36,5.699999999999999,20.619999999999997,6.699999999999999,16.92,8.16,10.48,5.55,20.520000000000003,9.1,18.119999999999997,6.49,14.52,15.22,6.91,10.83,8.34,19.82,11.8,8.85,6.75,17.119999999999997,42.620000000000005,6.34,31.82,10.51,15.72,8.379999999999999,48.52,23.020000000000003,8.43,11.9,27.020000000000003,6.96,6.75,6.96,6.85,9.59,7.13,6.33,7.98,7.57,25.520000000000003,15.72,8.43,7.02,231.42,55.22,19.520000000000003,7.72,130.42,3.899,3.828,3.885,3.987,3.871,3.872,3.94,3.865,3.93,3.835,3.967,4.011,3.939,3.878,3.883,3.947,3.947,3.861
grenoble_m3-26,12.57,7.286,8.241,54.992,9.747,7.601,9.52,12.854,8.241,6.327,8.568,8.241,0.0,22.576,7.281,9.29,7.603,10.294,13.2,10.47,31.98,12.28,10.38,11.46,40.58,17.42,13.54,37.58,26.78,23.08,36.98,9.87,30.58,11.29,19.98,14.44,29.48,10.23,18.78,11.05,19.78,13.32,20.58,15.84,17.36,10.97,25.08,32.480000000000004,30.28,24.18,17.619999999999997,10.78,9.89,11.72,18.88,15.76,21.18,10.23,24.08,12.54,19.18,10.33,17.619999999999997,9.96,24.88,10.96,21.18,12.42,14.739999999999998,9.81,24.78,13.36,22.38,10.75,18.78,19.48,11.17,15.09,12.6,24.08,16.060000000000002,13.11,11.01,21.38,46.88,10.6,36.08,14.77,19.98,12.64,52.78,27.28,12.69,16.16,31.28,11.22,11.01,11.22,11.11,13.85,11.39,10.59,12.239999999999998,11.83,29.78,19.98,12.69,11.28,235.68,59.48,23.78,11.98,134.68,8.158999999999999,8.088,8.145,8.247,8.131,8.132,8.2,8.125,8.19,8.094999999999999,8.227,8.270999999999999,8.199,8.138,8.142999999999999,8.206999999999999,8.206999999999999,8.121
grenoble_m3-27,9.62,6.967,8.882,8.881,7.92,29.725,9.201,13.175,12.026,7.159,10.425,43.833,22.576,0.0,8.241,10.624,6.656,8.89,10.25,7.52,29.03,9.33,7.430000000000001,8.51,37.629999999999995,14.47,10.59,34.629999999999995,23.83,20.130000000000003,34.03,6.92,27.63,8.34,17.03,11.49,26.53,7.28,15.83,8.100000000000001,16.83,10.37,17.630000000000003,12.89,14.41,8.02,22.13,29.53,27.33,21.23,14.67,7.83,6.94,8.77,15.93,12.81,18.23,7.28,21.13,9.59,16.23,7.380000000000001,14.67,7.01,21.93,8.01,18.23,9.47,11.79,6.86,21.83,10.41,19.43,7.800000000000001,15.83,16.53,8.22,12.14,9.65,21.13,13.11,10.16,8.06,18.43,43.93000000000001,7.65,33.129999999999995,11.82,17.03,9.69,49.83,24.33,9.74,13.21,28.33,8.27,8.06,8.27,8.16,10.9,8.440000000000001,7.640000000000001,9.29,8.88,26.83,17.03,9.74,8.33,232.73,56.53,20.83,9.03,131.73,5.2090000000000005,5.138000000000001,5.195,5.297000000000001,5.181,5.182,5.25,5.175000000000001,5.24,5.1450000000000005,5.277,5.321000000000001,5.2490000000000006,5.188000000000001,5.1930000000000005,5.257000000000001,5.257000000000001,5.171
grenoble_m3-28,9.18,6.96,45.125,8.88,7.606,7.601,8.24,8.562,8.561,7.287,8.246,6.64,7.281,8.241,0.0,14.178,8.066,8.24,9.81,7.08,28.59,8.89,6.99,8.07,37.19,14.03,10.15,34.19,23.39,19.69,33.59,6.48,27.19,7.9,16.59,11.05,26.09,6.84,15.39,7.66,16.39,9.93,17.19,12.45,13.97,7.58,21.69,29.09,26.89,20.79,14.23,7.390000000000001,6.5,8.33,15.489999999999998,12.37,17.79,6.84,20.69,9.15,15.79,6.9399999999999995,14.23,6.57,21.49,7.57,17.79,9.03,11.35,6.42,21.39,9.97,18.99,7.359999999999999,15.39,16.09,7.78,11.7,9.21,20.69,12.670000000000002,9.72,7.62,17.99,43.49,7.21,32.69,11.38,16.59,9.25,49.39,23.89,9.3,12.77,27.89,7.83,7.62,7.83,7.720000000000001,10.46,8.0,7.2,8.85,8.440000000000001,26.39,16.59,9.3,7.890000000000001,232.29,56.09,20.39,8.59,131.29,4.769,4.698,4.755,4.857,4.741,4.742,4.8100000000000005,4.735,4.8,4.705,4.837,4.881,4.809,4.748,4.753,4.817,4.817,4.731
grenoble_m3-30,8.059999999999999,9.2,10.259,7.786,9.2,8.394,7.926,9.521,7.28,7.601,8.56,7.736,9.29,10.624,14.178,0.0,7.281,6.767,8.69,5.96,27.47,7.77,5.87,6.949999999999999,36.07,12.91,9.03,33.07,22.270000000000003,18.57,32.47,5.359999999999999,26.07,6.779999999999999,15.47,9.93,24.97,5.72,14.27,6.54,15.27,8.809999999999999,16.07,11.33,12.85,6.46,20.57,27.97,25.770000000000003,19.67,13.11,6.27,5.38,7.21,14.37,11.25,16.67,5.72,19.57,8.030000000000001,14.67,5.82,13.11,5.449999999999999,20.369999999999997,6.449999999999999,16.67,7.91,10.23,5.3,20.270000000000003,8.85,17.869999999999997,6.24,14.27,14.97,6.66,10.58,8.09,19.57,11.55,8.6,6.5,16.869999999999997,42.370000000000005,6.09,31.57,10.26,15.47,8.129999999999999,48.27,22.770000000000003,8.18,11.65,26.770000000000003,6.71,6.5,6.71,6.6,9.34,6.88,6.08,7.73,7.32,25.270000000000003,15.47,8.18,6.77,231.17,54.97,19.270000000000003,7.47,130.17,3.649,3.578,3.635,3.737,3.621,3.622,3.69,3.615,3.68,3.585,3.717,3.761,3.689,3.628,3.633,3.697,3.697,3.611
grenoble_m3-31,7.76,8.242,7.921,44.934,8.248,23.449,9.522,7.922,7.92,8.241,6.326,7.326,7.603,6.656,8.066,7.281,0.0,8.561,8.39,5.66,27.17,7.47,5.57,6.65,35.769999999999996,12.61,8.73,32.769999999999996,21.97,18.27,32.17,5.0600000000000005,25.77,6.48,15.170000000000002,9.63,24.67,5.42,13.97,6.24,14.97,8.51,15.77,11.03,12.55,6.16,20.27,27.67,25.47,19.37,12.81,5.970000000000001,5.08,6.91,14.07,10.95,16.37,5.42,19.27,7.73,14.37,5.52,12.81,5.15,20.07,6.15,16.37,7.61,9.93,5.0,19.97,8.55,17.57,5.9399999999999995,13.97,14.670000000000002,6.36,10.28,7.79,19.27,11.25,8.3,6.2,16.57,42.07,5.79,31.27,9.96,15.170000000000002,7.83,47.97,22.47,7.88,11.35,26.47,6.41,6.2,6.41,6.300000000000001,9.04,6.58,5.78,7.43,7.0200000000000005,24.97,15.170000000000002,7.88,6.470000000000001,230.87,54.669999999999995,18.97,7.17,129.87,3.349,3.278,3.335,3.4370000000000003,3.321,3.322,3.39,3.315,3.38,3.285,3.4170000000000003,3.4610000000000003,3.389,3.3280000000000003,3.333,3.397,3.397,3.311
grenoble_m3-32,7.619999999999999,8.881,7.6,6.966,68.043,6.327,7.287,6.641,7.92,8.88,8.56,7.6,10.294,8.89,8.24,6.767,8.561,0.0,8.25,5.52,27.03,7.33,5.43,6.51,35.629999999999995,12.47,8.59,32.629999999999995,21.83,18.13,32.03,4.92,25.63,6.34,15.03,9.49,24.53,5.279999999999999,13.83,6.1,14.83,8.37,15.63,10.89,12.41,6.02,20.13,27.53,25.33,19.23,12.67,5.83,4.9399999999999995,6.77,13.93,10.81,16.23,5.279999999999999,19.13,7.59,14.23,5.38,12.67,5.01,19.93,6.01,16.23,7.470000000000001,9.79,4.859999999999999,19.83,8.41,17.43,5.8,13.83,14.53,6.220000000000001,10.14,7.65,19.13,11.11,8.16,6.0600000000000005,16.43,41.93,5.65,31.13,9.82,15.03,7.69,47.83,22.33,7.74,11.21,26.33,6.27,6.0600000000000005,6.27,6.16,8.9,6.4399999999999995,5.640000000000001,7.289999999999999,6.880000000000001,24.83,15.03,7.74,6.33,230.73,54.529999999999994,18.83,7.029999999999999,129.73,3.209,3.138,3.195,3.2969999999999997,3.181,3.182,3.25,3.175,3.24,3.145,3.277,3.3209999999999997,3.249,3.188,3.193,3.257,3.257,3.171
grenoble_m3-177,10.41,13.45,15.25,8.28,8.7,11.6,10.04,10.72,11.31,24.12,9.53,8.94,13.2,10.25,9.81,8.69,8.39,8.25,0.0,31.335,40.888,11.583,16.282,9.52,7.921,63.611,20.838,35.42,24.62,20.92,34.82,7.709999999999999,28.42,9.13,17.82,12.28,27.32,8.07,16.619999999999997,8.89,17.619999999999997,11.16,18.42,13.68,15.2,8.809999999999999,22.92,30.32,28.12,22.02,15.46,8.62,7.73,9.56,16.72,13.6,19.02,8.07,21.92,10.38,17.02,8.17,15.46,7.799999999999999,22.72,8.799999999999999,19.02,10.26,12.579999999999998,7.65,22.62,11.2,20.22,8.59,16.619999999999997,17.32,9.01,12.93,10.44,21.92,13.9,10.95,8.85,19.22,44.72,8.44,33.92,12.61,17.82,10.48,50.620000000000005,25.12,10.53,14.0,29.12,9.06,8.85,9.06,8.95,11.69,9.23,8.43,10.079999999999998,9.67,27.62,17.82,10.53,9.12,233.52,57.31999999999999,21.62,9.82,132.52,5.999,5.928,5.984999999999999,6.087,5.970999999999999,5.9719999999999995,6.039999999999999,5.965,6.029999999999999,5.935,6.066999999999999,6.111,6.039,5.978,5.983,6.047,6.047,5.960999999999999
grenoble_m3-178,7.68,10.72,12.52,5.55,5.970000000000001,8.870000000000001,7.31,7.99,8.58,21.39,6.8,6.21,10.47,7.52,7.08,5.96,5.66,5.52,31.335,0.0,9.21,7.39,8.879,6.57,35.69,15.328,8.65,32.69,21.89,18.19,32.09,4.98,25.69,6.4,15.09,9.55,24.59,5.34,13.89,6.16,14.89,8.43,15.69,10.95,12.47,6.08,20.19,27.59,25.39,19.29,12.73,5.890000000000001,5.0,6.83,13.989999999999998,10.87,16.29,5.34,19.19,7.65,14.29,5.4399999999999995,12.73,5.07,19.99,6.07,16.29,7.53,9.85,4.92,19.89,8.469999999999999,17.49,5.859999999999999,13.89,14.59,6.28,10.2,7.71,19.19,11.170000000000002,8.219999999999999,6.12,16.49,41.99,5.71,31.19,9.88,15.09,7.75,47.89,22.39,7.8,11.27,26.39,6.33,6.12,6.33,6.220000000000001,8.96,6.5,5.7,7.35,6.94,24.89,15.09,7.8,6.390000000000001,230.79,54.59,18.89,7.09,129.79,3.269,3.198,3.255,3.357,3.241,3.242,3.31,3.235,3.3,3.205,3.337,3.381,3.309,3.248,3.253,3.317,3.317,3.231
grenoble_m3-179,29.19,32.230000000000004,34.03,27.06,27.48,30.380000000000003,28.82,29.5,30.09,42.900000000000006,28.31,27.72,31.98,29.03,28.59,27.47,27.17,27.03,40.888,9.21,0.0,9.303,9.528,7.28,9.973,10.159,32.884,8.881,9.974,10.481,57.309,26.49,16.998,27.91,36.6,31.06,8.242,26.85,8.88,27.67,36.4,29.94,37.2,32.46,33.980000000000004,27.59,41.7,49.1,46.900000000000006,40.8,34.24,27.4,26.51,28.34,35.5,32.38,37.8,26.85,40.7,29.16,35.8,26.95,34.24,26.58,41.5,27.58,37.8,29.04,31.36,26.43,41.400000000000006,29.98,39.0,27.37,35.4,36.1,27.79,31.71,29.22,40.7,32.68,29.73,27.630000000000003,38.0,63.5,27.22,52.7,31.39,36.6,29.26,69.4,43.900000000000006,29.31,32.78,47.900000000000006,27.84,27.630000000000003,27.84,27.73,30.47,28.01,27.21,28.86,28.450000000000003,46.400000000000006,36.6,29.31,27.9,252.3,76.1,40.400000000000006,28.6,151.3,24.779,24.708,24.765,24.867,24.751,24.752,24.82,24.745,24.81,24.715,24.847,24.891,24.819,24.758,24.763,24.827,24.827,24.741
grenoble_m3-181,9.489999999999998,12.53,14.33,7.359999999999999,7.779999999999999,10.68,9.12,9.8,10.39,23.200000000000003,8.61,8.02,12.28,9.33,8.89,7.77,7.47,7.33,11.583,7.39,9.303,0.0,7.3,15.8,28.792,16.822,8.24,8.561,7.287,54.75,7.6,6.789999999999999,8.24,19.029,16.9,11.36,9.201,25.519,15.615,7.97,16.7,10.239999999999998,17.5,12.76,14.28,7.89,22.0,29.4,27.200000000000003,21.1,14.54,7.699999999999999,6.81,8.64,15.8,12.68,18.1,7.1499999999999995,21.0,9.46,16.1,7.25,14.54,6.879999999999999,21.799999999999997,7.879999999999999,18.1,9.34,11.66,6.7299999999999995,21.700000000000003,10.28,19.299999999999997,7.67,15.7,16.4,8.09,12.01,9.52,21.0,12.98,10.03,7.93,18.299999999999997,43.8,7.52,33.0,11.69,16.9,9.56,49.7,24.200000000000003,9.61,13.08,28.200000000000003,8.14,7.93,8.14,8.03,10.77,8.309999999999999,7.51,9.16,8.75,26.700000000000003,16.9,9.61,8.2,232.6,56.4,20.700000000000003,8.899999999999999,131.6,5.079,5.008,5.0649999999999995,5.167,5.050999999999999,5.052,5.119999999999999,5.045,5.109999999999999,5.015,5.146999999999999,5.191,5.119,5.058,5.063,5.127,5.127,5.0409999999999995
grenoble_m3-182,7.59,10.63,12.43,5.46,5.880000000000001,8.780000000000001,7.22,7.9,8.49,21.3,6.71,6.12,10.38,7.430000000000001,6.99,5.87,5.57,5.43,16.282,8.879,9.528,7.3,0.0,71.44,35.6,9.201,8.561,7.287,14.315,13.613,8.569,9.588,8.246,9.761,9.52,9.46,8.567,17.371,13.8,6.07,14.8,8.34,15.6,10.86,12.38,5.99,20.1,27.5,25.3,19.2,12.64,5.800000000000001,4.91,6.74,13.9,10.78,16.2,5.25,19.1,7.56,14.2,5.35,12.64,4.98,19.9,5.98,16.2,7.44,9.76,4.83,19.8,8.379999999999999,17.4,5.77,13.8,14.5,6.19,10.11,7.62,19.1,11.080000000000002,8.129999999999999,6.03,16.4,41.900000000000006,5.62,31.1,9.79,15.0,7.66,47.8,22.3,7.71,11.18,26.3,6.24,6.03,6.24,6.130000000000001,8.870000000000001,6.41,5.61,7.26,6.8500000000000005,24.8,15.0,7.71,6.300000000000001,230.7,54.5,18.8,7.0,129.7,3.1790000000000003,3.108,3.165,3.2670000000000003,3.151,3.152,3.22,3.145,3.21,3.115,3.2470000000000003,3.2910000000000004,3.2190000000000003,3.1580000000000004,3.1630000000000003,3.2270000000000003,3.2270000000000003,3.141
grenoble_m3-183,8.67,11.71,13.51,6.539999999999999,6.96,9.86,8.299999999999999,8.98,9.57,22.380000000000003,7.789999999999999,7.199999999999999,11.46,8.51,8.07,6.949999999999999,6.65,6.51,9.52,6.57,7.28,15.8,71.44,0.0,8.882,14.133,7.927,66.186,10.481,10.479,14.773,7.607,67.45,59.745,7.28,7.601,7.921,6.33,13.693,7.6,16.213,6.959,16.68,11.94,13.46,7.07,21.18,28.58,26.380000000000003,20.28,13.72,6.88,5.99,7.82,14.98,11.86,17.28,6.33,20.18,8.64,15.28,6.43,13.72,6.06,20.98,7.06,17.28,8.52,10.84,5.91,20.880000000000003,9.46,18.48,6.85,14.88,15.58,7.27,11.19,8.7,20.18,12.16,9.21,7.109999999999999,17.48,42.98,6.699999999999999,32.18,10.87,16.080000000000002,8.74,48.88,23.380000000000003,8.79,12.26,27.380000000000003,7.32,7.109999999999999,7.32,7.21,9.95,7.49,6.6899999999999995,8.34,7.93,25.880000000000003,16.080000000000002,8.79,7.38,231.78,55.58,19.880000000000003,8.08,130.78,4.2589999999999995,4.188,4.245,4.3469999999999995,4.231,4.232,4.3,4.225,4.29,4.194999999999999,4.327,4.371,4.2989999999999995,4.2379999999999995,4.242999999999999,4.3069999999999995,4.3069999999999995,4.221
grenoble_m3-184,37.79,40.83,42.629999999999995,35.66,36.08,38.98,37.42,38.1,38.69,51.5,36.91,36.32,40.58,37.629999999999995,37.19,36.07,35.769999999999996,35.629999999999995,7.921,35.69,9.973,28.792,35.6,8.882,0.0,10.427,7.927,22.355,7.652,10.16,8.247,35.089999999999996,11.266,8.24,15.438,59.942,7.287,7.6,6.646,36.27,45.0,38.54,45.8,41.06,42.58,36.19,50.3,57.7,55.5,49.4,42.84,36.0,35.11,36.94,44.099999999999994,40.98,46.4,35.449999999999996,49.3,37.76,44.4,35.55,42.84,35.18,50.099999999999994,36.18,46.4,37.64,39.96,35.03,50.0,38.58,47.599999999999994,35.97,44.0,44.7,36.39,40.31,37.82,49.3,41.28,38.33,36.23,46.599999999999994,72.1,35.82,61.3,39.989999999999995,45.2,37.86,78.0,52.5,37.91,41.379999999999995,56.5,36.44,36.23,36.44,36.33,39.07,36.61,35.81,37.46,37.05,55.0,45.2,37.91,36.5,260.9,84.69999999999999,49.0,37.2,159.9,33.379,33.308,33.365,33.467,33.351,33.352,33.42,33.345,33.41,33.315,33.446999999999996,33.491,33.419,33.358,33.363,33.427,33.427,33.341
grenoble_m3-185,14.63,17.67,19.47,12.5,12.92,15.82,14.26,14.94,15.53,28.340000000000003,13.75,13.16,17.42,14.47,14.03,12.91,12.61,12.47,63.611,15.328,10.159,16.822,9.201,14.133,10.427,0.0,8.241,19.712,14.315,9.841,8.241,16.893,32.64,11.53,7.601,17.696,58.791,6.326,29.422,13.11,19.029,15.38,22.64,17.9,19.42,13.03,27.14,34.54,32.34,26.24,19.68,12.84,11.95,13.78,20.94,17.82,23.24,12.29,26.14,14.6,21.24,12.39,19.68,12.02,26.94,13.02,23.24,14.48,16.8,11.87,26.840000000000003,15.42,24.44,12.81,20.84,21.54,13.23,17.15,14.66,26.14,18.12,15.17,13.07,23.44,48.940000000000005,12.66,38.14,16.83,22.04,14.7,54.84,29.340000000000003,14.75,18.22,33.34,13.28,13.07,13.28,13.17,15.91,13.45,12.65,14.3,13.89,31.840000000000003,22.04,14.75,13.34,237.74,61.54,25.840000000000003,14.04,136.74,10.219,10.148,10.205,10.307,10.191,10.192,10.26,10.185,10.25,10.155,10.287,10.331,10.259,10.198,10.203,10.267,10.267,10.181
grenoble_m3-188,10.75,13.79,15.59,8.620000000000001,9.04,11.94,10.38,11.06,11.65,24.46,9.87,9.28,13.54,10.59,10.15,9.03,8.73,8.59,20.838,8.65,32.884,8.24,8.561,7.927,7.927,8.241,0.0,23.703,8.56,7.606,8.879,9.707,9.575,17.584,9.401,8.881,9.84,64.796,7.279,10.48,9.519,8.24,18.76,14.02,15.54,9.15,23.26,30.66,28.46,22.36,15.8,8.96,8.07,9.9,17.06,13.94,19.36,8.41,22.26,10.72,17.36,8.51,15.8,8.14,23.06,9.14,19.36,10.6,12.92,7.99,22.96,11.54,20.56,8.93,16.96,17.66,9.35,13.27,10.78,22.26,14.240000000000002,11.29,9.19,19.56,45.06,8.780000000000001,34.26,12.95,18.16,10.82,50.96,25.46,10.87,14.34,29.46,9.4,9.19,9.4,9.29,12.03,9.57,8.77,10.42,10.010000000000002,27.96,18.16,10.87,9.46,233.86,57.66,21.96,10.16,132.86,6.339,6.268000000000001,6.325,6.4270000000000005,6.311,6.312,6.380000000000001,6.305000000000001,6.37,6.275,6.407,6.4510000000000005,6.379,6.3180000000000005,6.323,6.3870000000000005,6.3870000000000005,6.301
grenoble_m3-189,34.79,37.83,39.629999999999995,32.66,33.08,35.98,34.42,35.1,35.69,48.5,33.91,33.32,37.58,34.629999999999995,34.19,33.07,32.769999999999996,32.629999999999995,35.42,32.69,8.881,8.561,7.287,66.186,22.355,19.712,23.703,0.0,24.663,9.84,8.889,12.549,6.327,21.205,9.974,6.646,8.879,9.521,7.919,7.281,42.0,7.28,42.8,38.06,39.58,8.239,47.3,16.114,52.5,46.4,39.84,33.0,32.11,33.94,41.099999999999994,37.98,43.4,32.449999999999996,46.3,34.76,41.4,32.55,39.84,32.18,47.099999999999994,33.18,43.4,34.64,36.96,32.03,47.0,35.58,44.599999999999994,32.97,41.0,41.7,33.39,37.31,34.82,46.3,38.28,35.33,33.23,43.599999999999994,69.1,32.82,58.3,36.989999999999995,42.2,34.86,75.0,49.5,34.91,38.379999999999995,53.5,33.44,33.23,33.44,33.33,36.07,33.61,32.81,34.46,34.05,52.0,42.2,34.91,33.5,257.9,81.69999999999999,46.0,34.199999999999996,8.881,30.379,30.308,30.365,30.467,30.351,30.352,30.42,30.345,30.41,30.315,30.447,30.491,30.418999999999997,30.357999999999997,30.363,30.427,30.427,30.341
grenoble_m3-191,23.99,27.03,28.83,21.86,22.28,25.18,23.62,24.3,24.89,37.7,23.11,22.520000000000003,26.78,23.83,23.39,22.270000000000003,21.97,21.83,24.62,21.89,9.974,7.287,14.315,10.481,7.652,14.315,8.56,24.663,0.0,8.255,9.521,7.287,7.289,14.133,12.533,10.392,7.28,8.561,6.326,10.159,8.241,7.279,32.0,65.053,28.78,22.39,36.5,11.621,41.7,35.6,29.04,22.200000000000003,21.31,23.14,30.3,27.18,32.6,21.65,35.5,23.96,30.6,21.75,29.04,21.380000000000003,36.3,22.380000000000003,32.6,23.840000000000003,26.16,21.23,36.2,24.78,33.8,22.17,30.200000000000003,30.9,22.590000000000003,26.51,24.020000000000003,35.5,27.480000000000004,24.53,22.43,32.8,58.3,22.020000000000003,47.5,26.19,31.4,24.06,64.2,38.7,24.11,27.58,42.7,22.64,22.43,22.64,22.53,25.270000000000003,22.81,22.01,23.66,23.25,41.2,31.4,24.11,22.700000000000003,247.1,70.9,35.2,23.4,8.889,19.579,19.508000000000003,19.565,19.667,19.551,19.552000000000003,19.62,19.545,19.610000000000003,19.515,19.647,19.691000000000003,19.619,19.558,19.563,19.627,19.627,19.541
grenoble_m3-192,20.29,23.33,25.130000000000003,18.16,18.58,21.48,19.92,20.6,21.19,34.0,19.41,18.82,23.08,20.130000000000003,19.69,18.57,18.27,18.13,20.92,18.19,10.481,54.75,13.613,10.479,10.16,9.841,7.606,9.84,8.255,0.0,7.287,12.213,7.281,8.246,9.707,7.6,9.84,9.199,8.246,8.24,8.88,14.873,28.3,8.559,25.08,18.69,32.8,24.938,38.0,31.9,25.34,18.5,17.61,19.44,26.6,23.48,28.9,17.95,31.799999999999997,20.26,26.9,18.05,25.34,17.68,32.6,18.68,28.9,20.14,22.46,17.53,32.5,21.08,30.1,18.47,26.5,27.200000000000003,18.89,22.81,20.32,31.799999999999997,23.78,20.83,18.73,29.1,54.6,18.32,43.8,22.49,27.700000000000003,20.36,60.5,35.0,20.41,23.880000000000003,39.0,18.94,18.73,18.94,18.83,21.57,19.11,18.31,19.96,19.55,37.5,27.700000000000003,20.41,19.0,243.4,67.2,31.5,19.7,9.519,15.879,15.808,15.865,15.967,15.851,15.852,15.92,15.845,15.91,15.815,15.947,15.991,15.919,15.858,15.863,15.927,15.927,15.841
grenoble_m3-193,34.19,37.23,39.03,32.06,32.480000000000004,35.38,33.82,34.5,35.09,47.900000000000006,33.31,32.72,36.98,34.03,33.59,32.47,32.17,32.03,34.82,32.09,57.309,7.6,8.569,14.773,8.247,8.241,8.879,8.889,9.521,7.287,0.0,6.961,8.24,29.12,9.841,8.561,8.56,7.28,6.325,9.335,7.6,67.969,7.605,8.239,38.98,32.59,46.7,26.284,51.900000000000006,45.8,39.24,32.4,31.51,33.34,40.5,37.38,42.8,31.85,45.7,34.160000000000004,40.8,31.95,39.24,31.58,46.5,32.58,42.8,34.04,36.36,31.43,46.400000000000006,34.980000000000004,44.0,32.37,40.4,41.1,32.79,36.71,34.22,45.7,37.68,34.730000000000004,32.63,43.0,68.5,32.22,57.7,36.39,41.6,34.26,74.4,48.900000000000006,34.31,37.78,52.900000000000006,32.84,32.63,32.84,32.730000000000004,35.47,33.01,32.21,33.86,33.45,51.400000000000006,41.6,34.31,32.9,257.3,81.1,45.400000000000006,33.6,9.84,29.779,29.708,29.765,29.867,29.751,29.752,29.82,29.745,29.81,29.715,29.847,29.891,29.819,29.758,29.763,29.827,29.827,29.741
